[TRACE] 18:05:43:414 SWAP/(3861:3861): Pag: 40, Estado: 0
[TRACE] 18:05:43:414 SWAP/(3861:3861): Pag: 41, Estado: 0
[TRACE] 18:05:43:414 SWAP/(3861:3861): Pag: 42, Estado: 0
[TRACE] 18:05:43:414 SWAP/(3861:3861): Pag: 43, Estado: 0
[TRACE] 18:05:43:426 SWAP/(3861:3861): Pag: 44, Estado: 0
[TRACE] 18:05:43:426 SWAP/(3861:3861): Pag: 45, Estado: 0
[TRACE] 18:05:43:426 SWAP/(3861:3861): Pag: 46, Estado: 0
[TRACE] 18:05:43:426 SWAP/(3861:3861): Pag: 47, Estado: 0
[TRACE] 18:05:43:427 SWAP/(3861:3861): Pag: 48, Estado: 0
[TRACE] 18:05:43:427 SWAP/(3861:3861): Pag: 49, Estado: 0
[TRACE] 18:05:43:427 SWAP/(3861:3861): Pag: 50, Estado: 0
[TRACE] 18:05:43:427 SWAP/(3861:3861): Pag: 51, Estado: 0
[TRACE] 18:05:43:427 SWAP/(3861:3861): Pag: 52, Estado: 0
[TRACE] 18:05:43:428 SWAP/(3861:3861): Pag: 53, Estado: 0
[TRACE] 18:05:43:428 SWAP/(3861:3861): Pag: 54, Estado: 0
[TRACE] 18:05:43:428 SWAP/(3861:3861): Pag: 55, Estado: 0
[TRACE] 18:05:43:428 SWAP/(3861:3861): Pag: 56, Estado: 0
[TRACE] 18:05:43:429 SWAP/(3861:3861): Pag: 57, Estado: 0
[TRACE] 18:05:43:429 SWAP/(3861:3861): Pag: 58, Estado: 0
[TRACE] 18:05:43:429 SWAP/(3861:3861): Pag: 59, Estado: 0
[TRACE] 18:05:43:429 SWAP/(3861:3861): Pag: 60, Estado: 0
[TRACE] 18:05:43:429 SWAP/(3861:3861): Pag: 61, Estado: 0
[TRACE] 18:05:43:430 SWAP/(3861:3861): Pag: 62, Estado: 0
[TRACE] 18:05:43:430 SWAP/(3861:3861): Pag: 63, Estado: 0
[TRACE] 18:05:43:430 SWAP/(3861:3861): Pag: 64, Estado: 0
